match_id,player_slot,radiant_win,win,duration,game_mode,lobby_type,hero_id,start_time,kills,deaths,assists,gold_per_min,xp_per_min,last_hits,denies,hero_damage,tower_damage,hero_healing,level,net_worth,obs_placed,sen_placed,kda_ratio,cs_per_min,denies_per_min,average_rank,leaver_status,party_size,hero_variant
8271809991,0,1,1,1975,22,7,75,2025-04-28 03:01:02,4,14,22,364,477,31,0,14146,1362,0,17,10882,0,0,1.8571428571428572,0.9417721518987342,0.0,45,0,0,1
8271773838,2,1,1,2902,22,7,136,2025-04-28 01:50:08,6,15,11,397,572,134,2,15728,3097,520,22,16541,0,0,1.1333333333333333,2.770503101309442,0.04135079255685734,34,0,0,5
8267697493,0,0,0,2026,22,7,99,2025-04-25 00:56:53,0,16,3,241,244,77,5,13817,439,0,12,7144,0,0,0.1875,2.28035538005923,0.14807502467917077,51,0,0,3
8267671013,0,1,1,2384,22,7,16,2025-04-24 23:55:43,6,12,22,378,570,65,2,15347,2168,0,20,16317,0,0,2.3333333333333335,1.6359060402684564,0.050335570469798654,44,0,0,1
8264252250,2,0,0,2009,22,7,97,2025-04-22 02:35:10,0,12,10,261,388,67,4,8185,309,0,15,6931,0,0,0.8333333333333334,2.0009955201592833,0.11946241911398706,35,0,0,3
8263028327,130,1,0,3059,22,7,16,2025-04-21 01:57:55,4,18,17,387,582,120,1,31542,314,187,23,18416,0,2,1.1666666666666667,2.353710362863681,0.019614253023864006,44,0,5,1
8262995629,2,0,0,3541,22,7,16,2025-04-21 00:51:50,10,14,17,441,720,237,2,37295,1090,0,26,23341,0,0,1.9285714285714286,4.015814741598419,0.033888731996611125,45,0,0,1
8262971238,2,0,0,2514,22,7,35,2025-04-21 00:01:10,7,11,16,464,515,190,0,34176,853,187,20,15496,0,0,2.090909090909091,4.534606205250597,0.0,43,0,0,2
8262912893,129,1,0,3433,22,7,63,2025-04-20 22:14:40,12,10,23,537,996,294,1,55565,7257,0,29,27352,0,0,3.5,5.138362947859015,0.01747742499271774,51,0,0,1
8262878646,129,0,1,2392,22,7,16,2025-04-20 21:25:50,6,10,28,456,651,87,3,29584,284,0,21,15746,0,0,3.4,2.182274247491639,0.07525083612040134,45,0,0,1
8262786187,0,0,0,2533,22,7,93,2025-04-20 19:43:50,6,14,6,406,655,108,0,8799,88,0,22,15597,0,0,0.8571428571428571,2.558231346229767,0.0,44,0,0,2
8261638277,129,1,0,3496,22,7,16,2025-04-20 02:45:16,5,15,27,536,700,425,4,42361,368,0,26,23780,0,0,2.1333333333333333,7.294050343249428,0.06864988558352403,42,0,0,1
8261605215,3,1,1,2763,22,7,14,2025-04-20 01:52:45,3,15,24,389,628,107,3,26396,1948,192,23,16021,0,0,1.8,2.3235613463626494,0.06514657980456026,43,0,0,3
